Company,Sub_segment,HQ_Region,CDP Score,CDP_Score_Numeric,SBTi_Near_Term_Status,SBTi_Near_Term_Numeric,SBTi_Net_Zero_Status,Has_Net_Zero_Target,SBTi_Net_Zero_Year,Remake_2021_Score_out_of_150,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct
Carter's Inc,Mid-Market,North America,B,5.0,Targets set,3,None,0,,,12.8,9.1,4.3,10.8,6.7,33.3,50
Children's Place Inc,Other,North America,C,3.0,Targets set,3,None,0,,-10.0,12.8,27.3,0.0,2.7,13.3,33.3,75
Carrefour S.A.,Other Retail,Europe,A,7.0,Targets set,3,Commitment removed,0,,,11.5,36.4,0.0,2.7,6.7,66.7,50
Canada Goose,Other Retail,North America,A-,6.0,Targets set,3,Targets set,1,FY2050,,10.3,9.1,17.4,5.4,6.7,0.0,50
Anta Sports Products,Other Retail,Asia,A,7.0,Targets set,3,None,0,,,9.0,9.1,8.7,5.4,6.7,33.3,25
Costco Wholesale,Value/Dept,North America,C,3.0,Not Found,0,None,0,,,9.0,18.2,8.7,2.7,6.7,50.0,0
Foot Locker Inc.,Sports/Active,North America,Not Disclosed,,Commitment removed,1,Commitment removed,0,,,7.7,18.2,8.7,2.7,6.7,33.3,0
Burlington Stores Inc,Value/Dept,North America,B,5.0,Not Found,0,None,0,,,7.7,9.1,8.7,2.7,6.7,33.3,0
Gerry Weber,Mid-Market,Europe,Not Disclosed,,Not Found,0,None,0,,,7.7,9.1,0.0,2.7,20.0,0.0,50
Sports Direct,Other Retail,Europe,Not Disclosed,,Not Found,0,None,0,,,5.1,9.1,0.0,2.7,0.0,33.3,0
Urban Outfitters,Fast Fashion,North America,Not Disclosed,,Not Found,0,None,0,,3.0,5.1,9.1,0.0,2.7,6.7,0.0,50
Ross Stores,Value/Dept,North America,B,5.0,Not Found,0,None,0,,-13.0,5.1,9.1,4.3,0.0,0.0,33.3,0
El Corte Ingles S.A.,Value/Dept,Europe,B,5.0,Not Found,0,None,0,,,5.1,9.1,4.3,2.7,6.7,16.7,0
Chico's FAS Inc,Mid-Market,North America,Not Disclosed,,Targets set,3,None,0,,,3.8,0.0,4.3,5.4,6.7,16.7,0
TOD'S,Luxury,Europe,Not Disclosed,,Targets set,3,None,0,,,3.8,9.1,4.3,2.7,6.7,0.0,0
Brunello Cucinelli,Luxury,Europe,B,5.0,Targets set,3,Targets set,1,2050,,2.6,18.2,0.0,0.0,0.0,33.3,0
Express Inc,Mid-Market,North America,Not Disclosed,,Targets set,3,Targets set,1,2050,,2.6,0.0,0.0,5.4,6.7,0.0,0
Buckle Inc,Other Retail,North America,Not Disclosed,,Targets set,3,None,0,,,1.3,0.0,0.0,2.7,6.7,0.0,0
DSW Inc.,Other Retail,North America,Not Disclosed,,Not Found,0,None,0,,,1.3,0.0,0.0,2.7,6.7,0.0,0
"Dillard's, Inc.",Value/Dept,North America,Not Disclosed,,Not Found,0,None,0,,,1.3,0.0,0.0,2.7,6.7,0.0,0
Skechers USA Inc,Sports/Active,North America,D,1.0,Not Found,0,None,0,,,1.3,0.0,0.0,2.7,6.7,0.0,0
Semir,Other Retail,Asia,Not Disclosed,,Not Found,0,None,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0
