Company,Sub_segment,HQ_Region,CDP Score,CDP_Score_Numeric,SBTi_Near_Term_Status,SBTi_Near_Term_Numeric,SBTi_Net_Zero_Status,Has_Net_Zero_Target,SBTi_Net_Zero_Year,SBTi_Near_Term_Target_Year,Remake_2021_Score_out_of_150,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct,Commitment on State-Imposed Forced Labour in Supply Chain (Renewable Energy),Commitment to Degrowth,Decarbonisation Commitment,Decarbonisation Progress,Discloses 24/7 Hourly Matching of Electricity Consumption (Supply Chain),Discloses Affected Stakeholder Engagement on Climate Strategy,Discloses Annual Renewable Energy Investment,Discloses Approach to Living Wage,Discloses Carbon Emissions,Discloses Carbon Pricing,Discloses Climate-Related Risk Process,"Discloses Commitment to Freedom of Association, Right to Organize and Collective Bargaining in the Supply Chain","Discloses Content of Scope 1, 2 and 3 Emissions",Discloses Details on Climate-Related Risks,Discloses Efforts to Compensate Workers Impacted by Climate Crisis,Discloses Efforts to Upskill Supply Chain Workers,Discloses Energy Efficiency Investments (Supply Chain),Discloses Evidence of Renewable Energy Advocacy (Supply Chain),Discloses Living Wage Estimates Used for Benchmarking,Discloses Outcome of Renewable Energy Advocacy (Supply Chain),Discloses Percentage of Workers Paid By Piece Rate,Discloses Percentage of Workers Receiving Wage Payments Digitally,Discloses Progress on Electrify Manufacturing Processes Target,Discloses Progress on Fossil Fuel Phase-Out Target,Discloses Progress on Renewable Energy Target (Supply Chain),Discloses Progress on Sustainable Materials Strategy,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Discloses Proportion of Workers Paid Minimum Wage,Discloses Quantity of Products Produced,Discloses Scale of Renewable Energy Support,Discloses Sourced Fibre Breakdown,Discloses Strategy to Achieving Living Wage,Discloses Supplier Engagement in Climate Adaptation Strategy,Discloses Supplier Engagement on Climate Target Setting,Discloses Support for Renewable Electricity,Discloses address of manufacturing facilities,Discloses address of processing facilities,Discloses address of raw material facilities,Discloses manufacturing facilities (specific location),Discloses name of parent company for each manufacturing facility,Discloses name of parent company for each processing facility,Discloses name of parent company of each raw material facility,Discloses number or % of Workers covered by Collective Bargaining Agreements,"Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Discloses processing facilities (specific location),Discloses raw material facilities,"Discloses the specific raw material fiber, products or services (raw material facilities)",Discloses type of products or services (manufacturing facilities),Discloses type of products or services (processing facilities),Electricity Consumption Breakdown (Supply Chain),Electricity Consumption Matched to Renewable Energy Generation (Supply Chain),Electrify Manufacturing Processes Target,Energy Consumption Breakdown (Own Operations),Energy Consumption Breakdown (Supply Chain),Energy Consumption Breakdown by Country (Supply Chain),Energy Consumption Breakdown by Process (Supply Chain),Energy Procurement Type Breakdown (Own Operations),Energy Procurement Type Breakdown (Supply Chain),Executive Pay Linked to Carbon Reduction,Fossil Fuel Phase-Out Target,Just Transition Commitment,List of Manufacturing facilities contributed to Open Supply Hub,List of Processing facilities contributed to Open Supply Hub,List of raw material facilities contributed to Open Supply Hub,Percentage of Executive Pay Linked to Carbon Reduction,Publicly available list of manufacturing facilities in open data format,Publicly available list of processing facilities in open data format,Publicly available list of raw material facilities in open data format,Publishes Percentage of Workers Paid Above Minimum Wage,Publishes Percentage or Number of Workers Earning a Living Wage,RE100 Commitment,Renewable Electricity Target (Supply Chain),Renewable Energy Definition,Renewable Energy Target (Supply Chain),Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Science Based Targets,Scope 3 Emissions Breakdown,Supplier Incentives to Improve Environmental Impacts,Sustainable Materials Strategy,Perf_Scope1_2_Emissions_tCO2e,Perf_Scope3_Emissions_tCO2e,Perf_Baseline_Year,Perf_Baseline_Emissions_tCO2e,Perf_Carbon_Reduction_Target_pct,Perf_Carbon_Target_Year,Perf_NetZero_Target_Year,Perf_Renewable_Energy_pct,Perf_Recycled_Materials_pct,Perf_Revenue_USD_M,Perf_Employees,Perf_Source_Report,CDP_Score_Encoded,Cluster,Overall_Disclosure_Score_pct_temp,Cluster_Label,Cluster_Rank,PCA1,PCA2,Greenwashing_Category,Cluster_Rank_Final
Nike Inc.,Sports/Active,North America,Not Disclosed,,Targets set,3,,0,,2030,25.0,39.7,45.5,34.8,40.5,20.0,33.3,75,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,0,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,0.0,0,39.7,Cluster 1 — Leaders,0,1.2925031971771885,-1.3667117180660262,Greenwashing Risk,1
JD Sports Fashion plc,Sports/Active,Europe,A,7.0,Targets set,3,,0,,2036,,37.2,72.7,17.4,27.0,33.3,66.7,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0,0,0,1,1,1,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,,,,,,,,,,,,,7.0,0,37.2,Cluster 1 — Leaders,0,2.568987268878086,0.10073727156433687,Genuine Leaders,1
Gap inc.,Mid-Market,North America,Not Disclosed,,Targets set,3,Targets set,1,FY2050,FY2030,6.0,35.9,27.3,26.1,45.9,13.3,33.3,50,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,1,0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,115749.0,5799502.0,2017.0,388954.0,90.0,2030.0,2050.0,46.0,65.0,,,"Gap Inc. 2025 Impact Report (Scope3 fig.=all disclosed cat.; SBT target scope is PG&S only, 32.5%)",0.0,0,35.9,Cluster 1 — Leaders,0,0.6601946484815185,0.1630750995382472,Greenwashing Risk,1
Hermes International,Luxury,Europe,A,7.0,Not Found,0,,0,,,,35.9,72.7,52.2,35.1,13.3,66.7,0,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0.0,0.0,1,0,0,1,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,7.0,0,35.9,Cluster 1 — Leaders,0,2.5026665786450817,-0.49893089650773786,Genuine Leaders,1
Hugo Boss AG,Luxury,Europe,C,3.0,Targets set,3,,0,,2030,,35.9,36.4,17.4,35.1,20.0,33.3,75,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,1,1,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,2024.0,,50.0,2030.0,,82.0,48.0,,,"Hugo Boss Sustainability Report (slide-deck, % only; base yr 2024 - unusual)",3.0,0,35.9,Cluster 1 — Leaders,0,0.9304362131188026,-0.6783756697714707,Greenwashing Risk,1
Esprit Holdings Limited,Fast Fashion,Asia,Not Disclosed,,Not Found,0,,0,,,,35.9,9.1,8.7,45.9,26.7,33.3,75,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,1.0,1.0,1,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,1,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,0.0,1,35.9,Cluster 2 — Developing,1,0.22500431004176932,-1.3960727549510257,Greenwashing Risk,2
Prada,Luxury,Europe,A-,6.0,Targets set,3,Commitment removed,0,,2029,,34.6,36.4,30.4,40.5,6.7,50.0,75,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,6.0,0,34.6,Cluster 1 — Leaders,0,1.6037567081323085,-0.23617891602700786,Genuine Leaders,1
Guess? Inc,Mid-Market,North America,B,5.0,Targets set,3,,0,,FY2030,,33.3,36.4,13.0,35.1,6.7,50.0,100,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,1,1,0,0.0,0.0,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,,5.0,0,33.3,Cluster 1 — Leaders,0,1.2203216412681819,0.20953470646692013,Genuine Leaders,1
Next PLC,Mid-Market,Europe,B,5.0,Targets set,3,Targets set,1,2050,2030,13.0,32.1,36.4,13.0,32.4,13.3,33.3,75,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0.0,0.0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,1,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,5.0,0,32.1,Cluster 1 — Leaders,0,1.1017569872653707,1.3959398358522113,Genuine Leaders,1
Zalando SE,Mid-Market,Europe,B,5.0,Targets set,3,Targets set,1,2050,2033,18.0,32.1,45.5,17.4,29.7,13.3,66.7,75,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1,0,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,5.0,0,32.1,Cluster 1 — Leaders,0,1.8518333130619062,1.7918172298450372,Genuine Leaders,1
